Model,MAE,RMSE,R2
Random Forest,0.32773108008720947,0.5059859946022769,0.8046244867176197
Decision Tree,0.4541711942829458,0.7030332265476953,0.622823312540521
Linear Regression,0.5332001304956555,0.7455813830127763,0.575787706032451
